,Age,Artists,Best number of players,Categories,Designer,Family,Mechanisms,Name,Number of players,Playing time,Publishers,Rating,Weight,Year
3989,8+,"['Artworkatelier Grafe & Roedszu', 'Reiner Stockhausen']","— Best: 2, 4, 6","['Card Game', 'Real-time', 'Sports']",['Reiner Stockhausen'],"['Ligretto', 'Sports: Football / Soccer']","['Card Drafting', 'Team-Based Game']",Crazy Kick,2–8,10,"['dlp games', 'Egmont Polska', 'Nasza Księgarnia', 'Oya', 'Schmidt Spiele']",6.4,1.05,2006
3990,10+,"['Sheryl Chieng', 'Yoma', 'Jason Flack']",— Best: 3,['Card Game'],['Kirk Dennison'],"['Crowdfunding: Kickstarter', 'Madison Game Design Cabal', 'Solitaire Games', 'Steampunk']","['Area Majority / Influence', 'Hand Management', 'Set Collection', 'Tile Placement', 'Variable Player Powers']",Gearworks,1–4,30–45,"['PieceKeeper Games', 'Lotus Frog Games']",7.0,1.91,2018
3991,15+,['N/A'],— Best: 2–3,"['Card Game', 'Movies / TV / Radio theme', 'Novel-based']",['Erik V Larsen'],"['Authors: J.R.R. Tolkien', 'Cerberus Engine: Middle Earth']","['Deck, Bag, and Pool Building']",The Hobbit: An Unexpected Journey Deck-Building Game,2–5,45,['Cryptozoic Entertainment'],7.0,2.18,2014
3992,––,['Justin Hernandez'],— Best: 2,"['Card Game', 'Fantasy']",['John Clowdus'],['N/A'],"['Area Majority / Influence', 'Hand Management']",Hemloch,2,30,['Small Box Games'],6.8,2.00,2011
3993,9+,"['Ian Parovel', 'Jun Sasaki']",— Best: 4,"['Bluffing', 'Deduction', 'Murder/Mystery']",['Jun Sasaki'],['N/A'],['Memory'],In a Grove,3–4,20,"['Oink Games', 'Moonster Games', 'More Fun Co., Ltd.', 'PopcornEdu']",6.3,1.50,2011
3994,10+,"['KniffDesign', 'Marc Posch']",— Best: none,"['Deduction', 'Transportation']",['Projekt Team III'],"['Characters: Mister X', 'Cities: New York (New York, USA)', 'Country: USA', 'Hidden Movement', 'One versus Many']","['Hand Management', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game']",N.Y. Chase,3–6,45,"['Grow Jogos e Brinquedos', 'Hasbro', 'Ravensburger Spieleverlag GmbH']",6.4,1.98,1999
3995,––,['William Arance'],"— Best: 2, 4","['Aviation / Flight', 'Card Game', 'Wargame', 'World War II']",['Dan Verssen'],['Down in Flames'],"['Campaign / Battle Card Driven', 'Hand Management']",Down in Flames: Aces High,2–6,45,['Dan Verssen Games (DVG)'],7.1,2.13,2008
3996,8+,['Chris Handy'],— Best: 3–4,"['Abstract Strategy', 'Card Game']",['Chris Handy'],"['Crowdfunding: Kickstarter', 'Pack O Game']","['Hand Management', 'Pattern Building', 'Tile Placement']",HUE,2–5,10,"['Perplext', 'One Moment Games', 'Oya']",6.4,1.46,2015
3997,––,['Blackwell Hird'],— Best: 1,"['Science Fiction', 'Wargame']",['Gottardo Zancani'],"['Solitaire Games', 'Solitaire Wargames']","['Chit-Pull System', 'Modular Board', 'Point to Point Movement']",Space Infantry,1–2,20–60,"['(Web published)', ""Lock 'n Load Publishing, LLC.""]",6.9,2.19,2011
3998,14+,"['Víctor Pérez Corbella', 'Nigel Kennington']",— Best: 2,"['Economic', 'Print & Play', 'Puzzle']","['Nigel Kennington', 'Sarah Kennington']","['Beer', 'Mint Tin', 'Mint Tin Design Contest']","['Pattern Building', 'Pattern Recognition', 'Worker Placement']",Microbrew,2,45–60,"['One Free Elephant', '(Web published)']",7.0,2.92,2017
3999,––,['Shayne Logan'],— Best: none,"['Wargame', 'World War II']",['Shayne Logan'],"['Crowdfunding: Kickstarter', 'Old School Tactical']","['Dice Rolling', 'Hexagon Grid']",Old School Tactical,2,60,['Flying Pig Games'],8.3,2.62,2016
4000,10+,['Scott Starkey'],— Best: 3–4,"['Animals', 'Card Game', 'Humor', 'Science Fiction']",['Jim Doherty'],['Animals: Apes / Monkeys'],['Auction/Bidding'],Monkeys on the Moon,2–4,60,['Eight Foot Llama'],6.2,2.12,2002
4001,8+,['Gary Locke'],— Best: 2,"['Card Game', 'Economic']","['Klaus Palesch', 'Horst-Rainer Rösner']",['N/A'],"['Auction/Bidding', 'Set Collection']",Ka-Ching!,2–4,20,"['Gamewright', 'Hobby World', 'Winning Moves Germany']",6.4,1.49,2001
4002,12+,['Harald Lieske'],— Best: 2,"['Card Game', 'Educational', 'Political', 'Religious']","['Christian Leonhard', 'Jason Matthews']",['Stronghold Games: The Great Designers Series'],"['Area Majority / Influence', 'Card Drafting', 'Simulation']",Sola Fide: The Reformation,2,45,"['Spielworxx', 'Stronghold Games']",6.5,2.00,2016
4003,12+,['Isabel Fernández Sánchez'],— Best: 5,"['Age of Reason', 'Negotiation', 'Wargame']",['Ivan Prat'],"['Age of Kings', 'Catalonia', 'Cities: Barcelona (Spain)', 'Country: Austria', 'Country: France', 'Country: Holy Roman Empire', 'Country: Spain', 'Country: The Netherlands', 'Country: United Kingdom', 'History: War of the Spanish Succession']","['Card Drafting', 'Variable Phase Order']",1714: The Case of the Catalans,2–5,120,"['Devir Games', 'Devir']",7.0,2.81,2014
4004,8+,"['Dominique Ehrhard', 'Michel Lalet']",— Best: none,['Animals'],"['Dominique Ehrhard', 'Michel Lalet']",['N/A'],"['Auction/Bidding', 'Set Collection']",Boomerang,3–5,30,"['Granna', 'Lui-même']",6.5,1.48,2010
4005,9+,['N/A'],— Best: 4,['Card Game'],"['Forrest-Pruzan Creative', 'Prospero Hall']","['Cereal Games', 'Climbing Games']","['Hand Management', 'Ladder Climbing', 'Trick-taking', 'Variable Player Powers']",Monster Crunch! The Breakfast Battle Game,2–5,20,['Big G Creative'],6.5,1.00,2018
4006,10+,['TJ Lubrano'],— Best: 2,"['Bluffing', 'Card Game']",['David Harding (II)'],"['Asian Theme', 'Country: Japan', 'The Mike Line', 'Tea Games']","['Hand Management', 'Set Collection']",Matcha,2,20,"['EmperorS4', 'Grail Games', 'Matagot']",6.4,1.57,2015
4007,12+,"['Dana Andrews', 'Doug Chaffee', 'Earl Geier', 'James Holloway', 'Todd F. Marsh']",— Best: 5,"['Miniatures', 'Science Fiction', 'Wargame']","['L. Ross Babcock, III', 'Forest Brown', 'Tara Gallagher', 'Sam Lewis', 'Bryan Nystul', 'Mike Nystul', 'Jordan Weisman', 'Wm. John Wheeler']",['BattleTech'],"['Dice Rolling', 'Hexagon Grid', 'Variable Player Powers']",BattleTech: CityTech,2–6,90,"['Descartes Editeur', 'Diseños Orbitales', 'FASA']",6.8,3.42,1986
4008,10+,"['Vitaly S. Alexius', 'Paolo Chiari', 'Vicki Dalton', 'Jeremiah Morelli']",— Best: 3–4,"['Adventure', 'Fantasy']","['Gordon Lamont', 'Fraser Lamont']","['Solitaire Games', 'Theme: Witches']","['Cooperative Game', 'Deck, Bag, and Pool Building']",Spellbound,1–4,60,['Fragor Games'],6.8,2.64,2012
4009,13+,['(Uncredited)'],— Best: 4,['Economic'],"['Yves Hirschfeld', 'Gilles Monnet']",['N/A'],"['Auction/Bidding', 'Commodity Speculation']",Schoko & Co.,2–4,180,['Schmidt Spiele'],6.7,2.91,1987
4010,14+,['Nicholas Avallone'],— Best: 3,"['Modern Warfare', 'Political', 'Wargame']",['Ian Brody'],"['Cold War', 'Crowdfunding: Kickstarter', 'Quartermaster Series']","['Area Majority / Influence', 'Hand Management']",Quartermaster General: The Cold War,3–6,90–120,"['Griggling Games, Inc.', 'PSC Games']",7.5,2.89,2018
4011,12+,['Timothy Schleif'],— Best: 2,"['Age of Reason', 'American Indian Wars', 'Wargame']","['Kevin McPartland', 'Jerry Shiles']",['History: War of 1812'],"['Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Secret Unit Deployment', 'Simulation']",Amateurs to Arms!,2,150,['Clash of Arms Games'],7.9,3.29,2012
4012,3+,['Richard Scarry'],— Best: 4,"[""Children's Game"", 'Racing']",['Forrest-Pruzan Creative'],"['Authors: Richard Scarry', 'Eye Found It!']","['Cooperative Game', 'Memory', 'Roll / Spin and Move']",Richard Scarry's Busytown: Eye found it! Game,2–4,30,"['I Can Do That Games', 'Tactic', 'Wonder Forge']",6.5,1.23,2009
4013,16+,"['Charles Kibler', 'Timothy Schleif', 'Robert Tunstall']","— Best: 2, 4","['Napoleonic', 'Wargame']",['Terry Doherty'],"['La Bataille series', 'Country: Russia']",['Hexagon Grid'],La Bataille de la Moscowa (third edition),2–8,1000,['Clash of Arms Games'],8.5,4.24,2011
4014,14+,"['Juan Pablo Fernández', 'Vuk Kostic', 'Manthos Lappas', 'Grzegorz Pedrycz', 'Unrealsmoker']",— Best: 3–4,"['Card Game', 'Fantasy']",['Jeff Lai'],['Crowdfunding: Kickstarter'],"['Card Drafting', 'Deck, Bag, and Pool Building']",Draconis Invasion,1–6,30–90,['KEJI Inc'],7.2,2.45,2016
4015,11+,['N/A'],— Best: 2,['Sports'],['Hal Richman'],"['Sports: Ice Hockey', 'Strat-O-Matic series']",['Simulation'],Strat-O-Matic Hockey,2,90,['Strat-O-Matic Game Company'],7.2,2.33,1978
