,Age,Artists,Best number of players,Categories,Designer,Family,Mechanisms,Name,Number of players,Playing time,Publishers,Rating,Weight,Year
106,12+,"['Fabien Fulchiron', 'NILS', 'Manuel Sanchez']","— Best: 4, 6","['Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']",['Thomas Dagenais-Lespérance'],['N/A'],"['Communication Limits', 'Targeted Clues', 'Team-Based Game']",Decrypto,3–8,15–45,"['Le Scorpion Masqué', '2 Pionki', 'ADC Blackfire Entertainment', 'Asmodee', 'Fantasmagoria', 'Galápagos Jogos', 'Gém Klub Kft.', 'GoKids 玩樂小子', 'Happy Baobab', 'IELLO', 'Kaissa Chess & Games', 'Lavka Games', 'Lex Games', 'Portal Games']",7.8,1.81,2018
107,8+,"['Cyrille Daujean', 'Julien Delval']",— Best: 4,['Trains'],['Alan R. Moon'],"['Continent: Europe', 'Ticket to Ride']","['Card Drafting', 'Connections', 'Hand Management', 'Network and Route Building', 'Push Your Luck', 'Set Collection']",Ticket to Ride: Europe,2–5,30–60,"['Days of Wonder', 'ADC Blackfire Entertainment', 'Asterion Press', 'Bergsala Enigma', 'Compaya.hu - Gamer Café Kft.', 'Edge Entertainment', 'Galápagos Jogos', 'Gém Klub Kft.', 'Happy Baobab', 'Hobby Japan', 'Hobby World', 'Kaissa Chess & Games', 'KDS Distribuzione', 'Lautapelit.fi', 'Nordic Games GmbH', 'Ponva d.o.o.', 'Rebel', 'Runadrake', 'Smart Ltd']",7.6,1.95,2005
108,13+,"['Keith Curtis', 'Agnieszka Dabrowiecka', 'Ollin Timm']",— Best: 4,"['Post-Napoleonic', 'Puzzle']",['Ted Alspach'],"['Castles of Mad King Ludwig', 'Country: Germany', 'Crowdfunding: Wspieram', 'Mensa Select']","['Auction/Bidding', 'Card Drafting', 'End Game Bonuses', 'Pattern Building', 'Set Collection', 'Tile Placement']",Castles of Mad King Ludwig,1–4,90,"['Bézier Games', 'Arclight', 'Competo / Marektoy', 'Gemenot', 'Korea Boardgames co., Ltd.', 'MINDOK', 'MYBG Co., Ltd.', 'Planszoweczka.pl', 'Viravi Edicions']",7.6,2.66,2014
109,14+,"['Tomasz Jedruszek', 'Henning Ludvigsen']",— Best: 6,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']",['Christian T. Petersen'],"['A Game of Thrones: The Board Game', 'A Song of Ice and Fire']","['Area Majority / Influence', 'Area Movement', 'Auction/Bidding', 'Card Play Conflict Resolution', 'Hand Management', 'Order Counters', 'Player Elimination', 'Simultaneous Action Selection', 'Variable Player Powers']",A Game of Thrones: The Board Game (Second Edition),3–6,120–240,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'cutia.ro', 'Delta Vision Publishing', 'Edge Entertainment', 'Fantasmagoria', 'Galakta', 'Galápagos Jogos', 'Game Harbor', 'Giochi Uniti', 'Heidelberger Spieleverlag', 'Hobby World', 'Korea Boardgames co., Ltd.', 'Monkey Time', 'Siam Board Games', 'Stratelibri']",7.6,3.71,2011
110,13+,"['Luis Francisco', 'George Patsouras', 'Nan Sumana', 'Rafał Szyma']",— Best: 7–8,"['Bluffing', 'Card Game', 'Deduction', 'Fantasy', 'Medieval', 'Negotiation', 'Party Game', 'Spies/Secret Agents']",['Don Eskridge'],"['Crowdfunding: Kickstarter', 'The Legend of King Arthur and the Knights of the Round Table', 'Postcard Box Games', 'Werewolf / Mafia']","['Hidden Roles', 'Roles with Asymmetric Information', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']",The Resistance: Avalon,5–10,30,"['Indie Boards & Cards', 'Broadway Toys LTD', 'Devir', 'Edge Entertainment', 'Gém Klub Kft.', 'Heidelberger Spieleverlag', 'Hobby Japan', 'Kaissa Chess & Games', 'Korea Boardgames co., Ltd.', 'Lanlalen', 'Portal Games', 'Raven Distribution', 'Wargames Club Publishing']",7.6,1.78,2012
111,13+,"[""Tim Arney-O'Neil"", 'Kevin Childress', 'Andrew Navaro', 'Brian Schomburg', 'WiL Springer']",— Best: 4,"['Fantasy', 'Fighting', 'Horror', 'Mythology', 'Wargame']",['Eric M. Lang'],"['Components: Miniatures', 'Warhammer Fantasy Board Games']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Role Playing', 'Take That', 'Variable Player Powers']",Chaos in the Old World,3–4,60–120,"['Fantasy Flight Games', 'Edge Entertainment', 'Galakta', 'Heidelberger Spieleverlag', 'Hobby Japan', 'Nexus Editrice']",7.7,3.18,2009
112,14+,"['David Cicurel', 'Matijos Gebreselassie', 'Mateusz Komada', 'Katarzyna Kosobucka']",— Best: 2,"['Adventure', 'Deduction', 'Murder/Mystery']",['David Cicurel'],"['Chronicles of Crime', 'Crowdfunding: Kickstarter', 'Digital Hybrid, App Required']","['Cooperative Game', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Player Powers']",Chronicles of Crime,1–4,60–90,"['Lucky Duck Games', '999 Games', 'Broadway Toys LTD', 'Corax Games', 'FoxGames', 'Galápagos Jogos', 'Game Harbor', 'Gém Klub Kft.', 'Hobby World', 'Korea Boardgames co., Ltd.', 'Last Level', 'MINDOK', 'TWOPLUS Games', 'uplay.it edizioni']",7.9,2.10,2018
113,10+,"['Kurt Miller', 'Paul Niemeyer', 'David Oram']",— Best: 5,"['Trains', 'Transportation', 'Video Game Theme']","['Glenn Drover', 'Martin Wallace']","['Country: USA', 'Railways of the World series']","['Action Points', 'Auction/Bidding', 'Card Drafting', 'Connections', 'Network and Route Building', 'Pick-up and Deliver', 'Tile Placement', 'Turn Order: Auction']",Railways of the World,2–6,120,"['Eagle-Gryphon Games', 'Winsome Games', 'Edge Entertainment']",7.7,3.03,2005
114,13+,"['Josh Cappel', 'Noah Adelman']",— Best: 4,"['Exploration', 'Nautical', 'Renaissance']","['Carl de Visser', 'Jarratt Gray']","['Colonial Theme', 'Crowdfunding: Kickstarter', 'Game Trayz Inside', 'History: Age of Discovery']","['Area Majority / Influence', 'Card Drafting', 'Set Collection']",Endeavor: Age of Sail,2–5,60–90,"['Burnt Island Games', 'Grand Gamers Guild', '17wanzy (Yihu BG)', 'Board Game Circus', 'Cranio Creations', 'CrowD Games', 'Frosted Games', 'Hobby Game Mall (하비게임몰)', 'Ludofy Creative', 'Maldito Games']",8.1,2.80,2018
115,8+,"['Kwanchai Moriya', 'Peter Wocken', 'Anthony Wocken']",— Best: 3–4,"['Economic', 'Science Fiction']","['Jonathan Gilmour', 'Brian Lewis']","['Animals: Dinosaurs', 'Crowdfunding: Kickstarter', 'Dinosaur Island']","['Action Points', 'Dice Rolling', 'Set Collection', 'Tile Placement', 'Worker Placement']",Dinosaur Island,1–4,90–120,"['Pandasaurus Games', 'Angry Lion Games', 'Asmodee', 'Devir', 'Feuerland Spiele', 'Ghenos Games', 'Hobby World', 'Meeple BR Jogos']",7.8,2.99,2017
116,14+,"[""Ian O'Toole""]",— Best: 4,"['Economic', 'Industry / Manufacturing']",['Vital Lacerda'],"['Country: Portugal', 'Crowdfunding: Giochistarter', 'Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Rivers: Douro', 'Theme: Wine']","['Area Majority / Influence', 'Variable Phase Order', 'Worker Placement']",Vinhos Deluxe Edition,1–4,60–135,['Eagle-Gryphon Games'],8.2,4.06,2016
117,13+,['Klemens Franz'],— Best: 3,"['City Building', 'Economic', 'Industry / Manufacturing', 'Medieval', 'Religious', 'Territory Building']",['Uwe Rosenberg'],"['Beer', 'Country: France', 'Country: Ireland', 'Harvest Series', 'Solitaire Games', 'Tableau Building', 'Theme: Wine']","['Increase Value of Unchosen Resources', 'Modular Board', 'Network and Route Building', 'Worker Placement', 'Worker Placement, Different Worker Types']",Ora et Labora,1–4,60–180,"['Lookout Games', '999 Games', 'Filosofia Éditions', 'Game Harbor', 'Heidelberger Spieleverlag', 'Hobby Japan', 'HomoLudicus', 'Lacerta', 'uplay.it edizioni', 'Z-Man Games, Inc.']",7.7,3.90,2011
118,12+,['Rodger B. MacGowan'],— Best: 2,"['Ancient', 'Wargame']",['Richard Borg'],"['Ancient: Rome', 'Commands & Colors', 'Commands & Colors: Ancients Series', 'Country: Greece', 'History: Punic Wars', 'History: Sicilian Wars']","['Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Hand Management', 'Hexagon Grid', 'Modular Board']",Commands & Colors: Ancients,2,60,"['GMT Games', 'Wargames Club Publishing']",7.8,2.70,2006
119,13+,"['Sean Brown', 'Peter Dennis', 'Paul Niemeyer', ""Ian O'Toole""]",— Best: 4,"['Economic', 'Trains', 'Transportation']",['Martin Wallace'],['Age of Steam'],"['Auction/Bidding', 'Catch the Leader', 'Connections', 'Dice Rolling', 'Loans', 'Network and Route Building', 'Pick-up and Deliver', 'Player Elimination', 'Scenario / Mission / Campaign Game', 'Selection Order Bid', 'Tile Placement', 'Turn Order: Auction', 'Victory Points as a Resource']",Age of Steam,1–6,120,"['Warfrog Games', 'Arclight', 'CZ Cloud Soft Co. Ltd', 'Eagle-Gryphon Games', 'Enjoy Game', 'Korea Boardgames co., Ltd.', 'Pegasus Spiele', 'Quined White Goblin Games', 'Wargames Club Publishing', 'Winsome Games']",7.7,3.91,2002
120,13+,"['Even Mehl Amundsen', 'Erfian Asafat', 'Tiziano Baracchi', 'Ryan Barger', 'Sara Biddle', 'Yoann Boissonnet', 'Leonardo Borazio', 'Noah Bradley', 'Marco Caradonna', 'Kevin Childress', 'Anna Christenson', 'West Clendinning', 'Nicholas Cloister', 'Soul Core', 'Daarken', 'Katherine Dinger', 'Loren Fetterman', 'Tony Foti', 'Tom Garden', 'Kristina Gehrmann', 'Lucas Graciano', 'Margaret Hardy', 'Jeff Himmelman', 'David Horne', 'Christopher Hosch', 'Ijur', 'Dominik Kasprzycki', 'Kaya', 'Igor Kieryluk', 'Mathias Kollros', 'Lius Lasahido', 'David Lecossu', 'Henning Ludvigsen', 'Daryl Mandryk', 'David Auden Nash', 'Mike Nash', 'Winona Nelson', 'Andrew Olson', 'Gabrielle Portal', 'Rio Sabda', 'Alexandru Sabo', 'Amanda Sartor', 'Marc Scheff', 'Alexandr Shaldin', 'WiL Springer', 'John Stanko', 'Matthew Starbuck', 'Florian Stitz', 'Nikolay Stoyanov', 'Angela Sung', 'Fredrik Tyskerud', 'Santiago Villa', 'Magali Villeneuve', 'Frank Walls', 'Jason Ward', 'Drew Whitmore', 'John Wigley', 'Mark Winters', 'Sandara Tang Sin Yun', 'Jen Zee', 'Ben Zweifel']",— Best: 2,"['Adventure', 'Card Game', 'Fantasy', 'Novel-based']",['Nate French'],"['Authors: J.R.R. Tolkien', 'Living Card Game', 'Lord of the Rings: The Card Game (LCG)', 'Solitaire Games']","['Cooperative Game', 'Hand Management', 'Solo / Solitaire Game', 'Variable Player Powers']",The Lord of the Rings: The Card Game,1–2,30–60,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Game Harbor', 'Heidelberger Spieleverlag', 'Stratelibri']",7.6,3.16,2011
121,12+,"['Vincent Dutrait', 'Alexandre Roche']",— Best: 2,"['Animals', 'Card Game']",['Sébastien Pauchon'],"['Animals: Camels', 'Asian Theme', 'Country: India']","['Card Drafting', 'Hand Management', 'Score-and-Reset Game', 'Set Collection']",Jaipur,2,30,"['GameWorks SàRL', 'Space Cowboys', 'Asmodee', 'cutia.ro', 'Esdevium', 'Gém Klub Kft.', 'Hobby Japan', 'Kaissa Chess & Games', 'Korea Boardgames co., Ltd.', 'Rebel', 'Siam Board Games']",7.5,1.50,2009
122,14+,['N/A'],— Best: 2,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based']","['Nathan I. Hajek', 'Grace Holdinghaus']","['Authors: J.R.R. Tolkien', 'Campaign Games', 'Components: Miniatures', 'Digital Hybrid, App Required', 'Solitaire Games']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']",The Lord of the Rings: Journeys in Middle-earth,1–5,60–120,"['Fantasy Flight Games', 'ADC Blackfire Entertainment', 'Asmodee', 'Delta Vision Publishing', 'Galápagos Jogos', 'Hobby World', 'Rebel']",8.1,2.51,2019
123,8+,"['Ted Alspach', 'Klemens Franz', 'Ollin Timm']",— Best: 3,"['City Building', 'Economic']",['Ted Alspach'],"['Mensa Select', 'Solitaire Games', 'Suburbia']","['Card Drafting', 'Hexagon Grid', 'Set Collection', 'Tile Placement']",Suburbia,1–4,90,"['Bézier Games', 'Arclight', 'Cosmodrome Games', 'CrowD Games', 'Lookout Games', 'Panda Game Manufacturing (PandaGM)', 'PaperGames (III)', 'Planszoweczka.pl', 'uplay.it edizioni', 'Ystari Games']",7.5,2.77,2012
124,12+,['Dennis Lohausen'],— Best: 5,['Medieval'],['Andreas Steding'],['Country: Germany'],"['Action Points', 'Area Majority / Influence', 'End Game Bonuses', 'Network and Route Building', 'Ownership', 'Tech Trees / Tech Tracks']",Hansa Teutonica,2–5,45–90,"['Argentum Verlag', '999 Games', 'Egmont Polska', 'Z-Man Games, Inc.']",7.6,3.12,2009
125,8+,"['Cyrille Daujean', 'Julien Delval', 'Don Perrin', 'Claude Rica']",— Best: 2,"['Miniatures', 'Wargame', 'World War II']",['Richard Borg'],"['Commands & Colors', 'Components: Miniatures', ""Memoir '44""]","['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Line of Sight', 'Modular Board', 'Movement Points', 'Simulation']",Memoir '44,2–8,30–60,"['Days of Wonder', 'ADC Blackfire Entertainment', 'Edge Entertainment']",7.6,2.27,2004
126,8+,"['Lina Cossette', 'David Forest']",— Best: 2,"['Abstract Strategy', 'Ancient', 'Mythology']",['Gord!'],"['3D Games', '5x5 grid', 'Chibi', 'Combinatorial', 'Country: Greece', 'Crowdfunding: Kickstarter', 'Games by the Game Artisans of Canada', 'Islands: Santorini (Greece)']","['Square Grid', 'Team-Based Game', 'Three Dimensional Movement', 'Variable Player Powers']",Santorini,2–4,20,"['Roxley', 'Galápagos Jogos', 'Korea Boardgames co., Ltd.', 'Spin Master Ltd.']",7.6,1.73,2016
127,10+,['Anne Heidsieck'],— Best: 4,['City Building'],['Benoit Turpin'],"['Roll-and-write', 'Welcome To...']","['Paper-and-Pencil', 'Pattern Building']",Welcome To...,1–100,25,"['Blue Cocker Games', 'Broadway Toys LTD', 'Deep Water Games', 'Dude Games', 'Engames', 'Fever Games', 'Gém Klub Kft.', 'Jumping Turtle Games', 'Lifestyle Boardgames Ltd', 'Ludofy Creative', 'Rebel', 'REXhry', 'SD Games', 'sternenschimmermeer']",7.6,1.83,2018
128,14+,"['Ossi Hiekkala', 'Jere Kasanen', 'Paul Laane', 'Frida Lögdberg']",— Best: 3,"['Card Game', 'Civilization', 'Economic']","['Rustan Håkansson', 'Nina Håkansson', 'Einar Rosén', 'Robert Rosén']","['Nations', 'Solitaire Games', 'Tableau Building']","['Automatic Resource Growth', 'Card Drafting', 'Events', 'Turn Order: Pass Order', 'Variable Player Powers', 'Worker Placement']",Nations,1–5,40–200,"['Lautapelit.fi', 'Asmodee', 'Asterion Press', 'Rebel', 'Ystari Games']",7.7,3.53,2013
129,12+,"['Andrew Navaro', 'Ryan Barger', 'Felicia Cano', 'Henning Ludvigsen', 'Sabe Lewellyn', 'Brian Schomburg', 'WiL Springer']",— Best: 5,"['Bluffing', 'Negotiation', 'Science Fiction', 'Space Exploration']","['Bill Eberle', 'Jack Kittredge', 'Bill Norton', 'Peter Olotka', 'Kevin Wilson']","['Cosmic Encounter', 'Creatures: Aliens']","['Alliances', 'Auction/Bidding', 'Hand Management', 'Negotiation', ""Prisoner's Dilemma"", 'Race', 'Simultaneous Action Selection', 'Take That', 'Trading', 'Variable Player Powers']",Cosmic Encounter,3–5,60–120,"['Fantasy Flight Games', 'Arclight', 'Asterion Press', 'Edge Entertainment', 'Galakta', 'Heidelberger Spieleverlag', 'House of Monks']",7.5,2.57,2008
130,14+,"['Charles Kibler', 'Terry Leeds', 'Rodger B. MacGowan', 'Mark Simonitch']",— Best: 2,"['Wargame', 'World War I']",['Ted Raicer'],"['Continent: Europe', 'Region: Middle East']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement']",Paths of Glory,2,480,"['GMT Games', 'Devir', 'Udo Grebe Gamedesign', 'Wargames Club Publishing', 'Wydawnictwo Gołębiewski']",8.0,3.83,1999
131,14+,"['Villő Farkas', 'László Fejes']",— Best: 4,['N/A'],"['Richard Amann', 'Viktor Peter']","['Crowdfunding: Kickstarter', 'Crowdfunding: Spieleschmiede', 'Trickerion']","['Action Points', 'Action Queue', 'Catch the Leader', 'Dice Rolling', 'Simultaneous Action Selection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement']",Trickerion: Legends of Illusion,2–4,60–180,"['Mindclash Games', 'Angry Lion Games', 'APE Games', 'Corax Games', 'Maldito Games']",7.9,4.17,2015
132,12+,"['Lee Brimmicombe-Wood', 'Chad Jensen', 'Rodger B. MacGowan', 'Leland Myrick', 'Mark Simonitch']",— Best: 2,"['Wargame', 'World War II']",['Chad Jensen'],['Combat Commander Series'],"['Campaign / Battle Card Driven', 'Hexagon Grid', 'Simulation', 'Variable Phase Order']",Combat Commander: Europe,2,60–180,"['GMT Games', 'Devir']",7.9,3.23,2006
133,11+,['Tomáš Kučerovský'],— Best: 2,"['Card Game', 'Deduction', 'Spies/Secret Agents', 'Word Game']","['Vlaada Chvátil', 'Scot Eaton']",['Codenames'],"['Communication Limits', 'Cooperative Game', 'Push Your Luck', 'Team-Based Game']",Codenames: Duet,2–4,15–30,"['Czech Games Edition', 'Asmodee', 'Bergsala Enigma', 'Cranio Creations', 'Devir', 'DiceTree Games', 'Fantasmagoria', 'GaGa Games', 'Gém Klub Kft.', 'Golden Egg Games', 'Heidelberger Spieleverlag', 'Hobby Japan', 'IELLO', 'Kaissa Chess & Games', 'Lex Games', 'MINDOK', 'One Moment Games', 'Rebel', 'White Goblin Games']",7.6,1.32,2017
134,14+,"['Ervin', 'Sabrina Tobal']",— Best: 8,"['Deduction', 'Fighting', 'Nautical', 'Real-time']","['Roberto Fraga', 'Yohan Lemonnier']","['Captain Sonar', 'Hidden Movement', 'Submarines', 'Underwater War']","['Grid Movement', 'Hidden Movement', 'Line Drawing', 'Real-Time', 'Role Playing', 'Secret Unit Deployment', 'Simulation', 'Team-Based Game']",Captain Sonar,2–8,45–60,"['Matagot', 'Asmodee', 'Broadway Toys LTD', 'Bureau De Juegos', 'Conclave Editora', 'CrowD Games', 'Gém Klub Kft.', 'Lex Games', 'Pegasus Spiele', 'Pendragon Game Studio', ""Surfin' Meeple China""]",7.6,2.13,2016
135,13+,['Ryan Laukat'],— Best: 3,"['Adventure', 'Exploration']",['Ryan Laukat'],"['Campaign Games', 'Crowdfunding: Kickstarter', 'World of Arzium']","['Card Drafting', 'Dice Rolling', 'Narrative Choice / Paragraph', 'Network and Route Building', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Storytelling', 'Variable Player Powers', 'Worker Placement']",Near and Far,2–4,90–120,"['Red Raven Games', 'Devir', 'dV Giochi', 'Lavka Games', 'Lucky Duck Games', 'Schwerkraft-Verlag']",7.9,2.83,2017
136,12+,"['Taira Akitsu', 'Franz Vohwinkel']",— Best: 2,['Card Game'],['Andreas Steiger'],"['Continent: Africa', 'Desert Theme', 'Kosmos two-player series', 'Tableau Building']","['End Game Bonuses', 'Modular Board', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']",Targi,2,60,"['KOSMOS', '999 Games', 'Devir', 'Filosofia Éditions', 'Galakta', 'Giochi Uniti', 'Group SNE', 'IELLO', 'Kaissa Chess & Games', 'Korea Boardgames co., Ltd.', 'Stupor Mundi', 'White Goblin Games', 'Z-Man Games, Inc.']",7.6,2.34,2012
137,12+,['Dennis Lohausen'],— Best: 4,"['Farming', 'Medieval']","['Inka Brand', 'Markus Brand']",['Village'],"['Action Drafting', 'Contracts', 'Set Collection', 'Worker Placement', 'Worker Placement, Different Worker Types']",Village,2–4,60–90,"['eggertspiele', '999 Games', 'Albi', 'Delta Vision Publishing', 'Fantasmagoria', 'Fire on Board Jogos', 'Gigamic', 'hobbity.eu', 'Hobby Japan', 'KADABRA', 'Kaissa Chess & Games', 'Lautapelit.fi', 'Ludicus', 'Ludonova', 'Pegasus Spiele', 'Plan B Games', 'Stronghold Games', 'Swan Panasia Co., Ltd.', 'Tasty Minstrel Games', 'uplay.it edizioni', 'Zvezda']",7.5,3.08,2011
138,13+,"['Andrea Cofrancesco', 'Mathieu Harlaut']",— Best: 4,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures']","['Thiago Aranha', 'Guilherme Goulart', 'Eric M. Lang', 'Fred Perret']","['Anime & Manga', 'Arcadia Quest', 'Campaign Games', 'Chibi', 'Components: Miniatures', 'Crowdfunding: Kickstarter', 'Dungeon Crawler']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Take That', 'Variable Player Powers']",Arcadia Quest,2–4,60,"['CMON Limited', 'Spaghetti Western Games', 'Asmodee', 'Asterion Press', 'BoardM Factory', 'Edge Entertainment', 'Galápagos Jogos']",7.8,2.53,2014
139,8+,['Leon Schiffer'],— Best: 2,['Dice'],['Wolfgang Warsch'],"['Roll-and-write', 'Schmidt Spiele Klein & Fein', 'Solitaire Games']","['Dice Rolling', 'Follow', 'Paper-and-Pencil', 'Re-rolling and Locking', 'Solo / Solitaire Game']",That's Pretty Clever,1–4,30,"['Schmidt Spiele', '999 Games', 'Arclight', 'Compaya.hu - Gamer Café Kft.', 'Devir', 'G3', 'Korea Boardgames co., Ltd.', 'Lavka Games', 'Stronghold Games']",7.7,1.92,2018
140,8+,"['Cyrille Daujean', 'Julien Delval']",— Best: 3,['Trains'],['Alan R. Moon'],"['Cities: Copenhagen (Denmark)', 'Cities: Stockholm (Sweden)', 'Country: Denmark', 'Country: Finland', 'Country: Norway', 'Country: Sweden', 'Ticket to Ride']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']",Ticket to Ride: Nordic Countries,2–3,30–60,"['Days of Wonder', 'Edge Entertainment', 'Galápagos Jogos', 'Hobby Japan', 'Hobby World', 'Lautapelit.fi', 'Nordic Games GmbH', 'Rebel']",7.6,1.98,2007
141,12+,"['Cody Miller', 'Steve ""Coolhand"" Tyler', 'Peter Wocken']",— Best: 3,"['Adventure', 'Exploration', 'Fighting', 'Science Fiction', 'Space Exploration', 'Transportation']",['Cody Miller'],"['Components: Miniatures', 'Crowdfunding: Kickstarter', 'Crowdfunding: Verkami', 'Polyominoes']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Pick-up and Deliver', 'Roll / Spin and Move', 'Tile Placement', 'Variable Player Powers']",Xia: Legends of a Drift System,3–5,60–180,"['Far Off Games', 'Lavka Games', 'Maldito Games']",7.9,3.15,2014
142,14+,"['Adrian Adamescu', 'Daryl Andrews', 'Peter Wocken']",— Best: 2,"['Dice', 'Puzzle']","['Adrian Adamescu', 'Daryl Andrews']","['Cities: Barcelona (Spain)', 'Crowdfunding: Kickstarter', 'Games by the Game Artisans of Canada', 'Sagrada', 'Solitaire Games', 'Visual Arts']","['Card Drafting', 'Dice Rolling', 'Pattern Building', 'Set Collection']",Sagrada,1–4,30–45,"['Floodgate Games', 'Cranio Creations', 'CrowD Games', 'Devir', 'Engames', 'FoxGames', 'Galápagos Jogos', 'Lanlalen', 'Mandoo Games', 'Matagot', 'MEBO Games', 'MINDOK', 'One Moment Games', 'Pegasus Spiele', 'Reflexshop']",7.5,1.91,2017
143,18+,"['Paweł Niziołek', 'Michał Oracz', 'Piotr Gacek']",— Best: 1,"['Adventure', 'Exploration', 'Mature / Adult', 'Modern Warfare', 'Video Game Theme']","['Michał Oracz', 'Jakub Wiśniewski']","['Crowdfunding: Kickstarter', 'Solitaire Games']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Push Your Luck', 'Role Playing', 'Simulation', 'Storytelling', 'Worker Placement']",This War of Mine: The Board Game,1–6,45–120,"['Awaken Realms', 'Albi', 'Ares Games', 'Asmodee', 'CrowD Games', 'Edge Entertainment', 'Galakta', 'Galápagos Jogos', 'Pendragon Game Studio', 'Summon Games']",7.9,3.16,2017
144,14+,"['Rodger B. MacGowan', 'Mark Mahaffey']",— Best: 2,"['Civil War', 'Pike and Shot', 'Wargame']",['Matt Calkins'],"['Asian Theme', 'Block wargames', 'Country: Japan', 'History: Sengoku Period']","['Hand Management', 'Point to Point Movement', 'Secret Unit Deployment']",Sekigahara: The Unification of Japan,2,180,['GMT Games'],8.1,2.76,2011
145,10+,"['Abbas Amirabadi', 'Mahmoud Arasteh Nasab', 'Pascal Quidault']",— Best: 3,"['Card Game', 'Economic', 'Renaissance']",['Marc André'],"['Splendor', 'Tableau Building']","['Card Drafting', 'Contracts', 'Set Collection']",Splendor,2–4,30,"['Space Cowboys', 'Asmodee', 'Asterion Press', 'Baborka Games', 'Board Game VN', 'Boardgame Space', 'Broadway Toys LTD', 'Days of Wonder', 'Filosofia Éditions', 'Galápagos Jogos', 'Gém Klub Kft.', 'GoKids 玩樂小子', 'HaKubia', 'Hobby Japan', 'JD Éditions', 'Kaissa Chess & Games', 'Korea Boardgames co., Ltd.', 'Lautapelit.fi', 'Lex Games', 'Lifestyle Boardgames Ltd', 'Morapiaf', 'NeoTroy Games', 'Rebel', 'Siam Board Games']",7.5,1.80,2014
146,10+,"['Kerri Aitken', 'Res Brandenberger', 'François Bruel', 'Philippe Guérin', 'Chris Quilliams', 'Valerie Vekemans', 'Franz Vohwinkel']",— Best: 4,['Card Game'],['Urs Hostettler'],"['Asian Theme', 'Card Games: Outplay Games', 'Climbing Games', 'Country: China', 'Shedding Games', 'Traditional Card Games', 'Z-Man / Filosofia deluxe card game series']","['Betting and Bluffing', 'Hand Management', 'Ladder Climbing', 'Team-Based Game', 'Trick-taking']",Tichu,4,60,"['Fata Morgana Spiele', '999 Games', 'ABACUSSPIELE', 'Filosofia Éditions', 'G3', 'Hobby World', 'HomoLudicus', 'Korea Boardgames co., Ltd.', 'Playhouse Ltd', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'uplay.it edizioni', 'Vennerød Forlag AS']",7.6,2.34,1991
147,12+,['Oliver Freudenreich'],— Best: 4,"['Economic', 'Farming', 'Nautical', 'Renaissance']",['Rüdiger Dorn'],"['Colonial Theme', 'Country: India', 'Country: Portugal']","['Auction/Bidding', 'Auction: Once Around', 'Hand Management', 'Push Your Luck']",Goa,2–4,90,"['Hans im Glück', '999 Games', 'Asterion Press', 'Filosofia Éditions', 'HomoLudicus', 'Lacerta', 'Lookout Games', 'Rio Grande Games', 'Z-Man Games, Inc.']",7.6,3.38,2004
148,16+,"['Aga Jakimiec', 'Ewa Kostorz', 'Rafał Szyma']",— Best: none,"['Deduction', 'Murder/Mystery']","['Przemysław Rymer', 'Ignacy Trzewiczek', 'Jakub Łapot']","['Detective: A Modern Crime Board Game', 'Digital Hybrid, App Required']","['Cooperative Game', 'Solo / Solitaire Game', 'Storytelling']",Detective: A Modern Crime Board Game,1–5,120–180,"['Portal Games', 'GaGa Games', 'IELLO', 'Korea Boardgames co., Ltd.', 'Maldito Games', 'Pegasus Spiele', 'Pendragon Game Studio', 'REXhry', 'White Goblin Games']",8.0,2.71,2018
